Chembl_ID,Smiles_ID,Drug_Name,Clinical_Phase,MOA,UniprotID
CHEMBL1236539,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)[C@H](NC6=O)O)NC)OC,7-hydroxystaurosporine,Phase 2,CDK inhibitor|CHK inhibitor|PKC inhibitor,P49841
CHEMBL4851837,,A-1120,Preclinical,retinoid receptor ligand,P02753
CHEMBL4871364,,A-317491,Preclinical,purinergic receptor antagonist,P56373
CHEMBL4878854,,Ro-3,Preclinical,purinergic receptor antagonist,P56373
CHEMBL4873709,,A-366,Preclinical,histone lysine methyltransferase inhibitor,Q9H9B1
,,UNC0737,Preclinical,histone lysine methyltransferase inhibitor,Q9H9B1
CHEMBL4848975,,BIX-01294,Preclinical,histone lysine methyltransferase inhibitor,Q9H9B1
CHEMBL4866322,,UNC0224,Preclinical,histone lysine methyltransferase inhibitor,Q9H9B1
CHEMBL4850786,,UNC0638,Preclinical,histone lysine methyltransferase inhibitor,Q9H9B1
CHEMBL4859603,,UNC0642,Preclinical,histone lysine methyltransferase inhibitor,Q9H9B1
CHEMBL4873709,,A-366,Preclinical,histone lysine methyltransferase inhibitor,Q96KQ7
,,UNC0737,Preclinical,histone lysine methyltransferase inhibitor,Q96KQ7
CHEMBL4848975,,BIX-01294,Preclinical,histone lysine methyltransferase inhibitor,Q96KQ7
CHEMBL4874522,,BRD4770,Preclinical,histone lysine methyltransferase inhibitor,Q96KQ7
CHEMBL4866322,,UNC0224,Preclinical,histone lysine methyltransferase inhibitor,Q96KQ7
CHEMBL4848311,,UNC0321,Preclinical,histone lysine methyltransferase inhibitor,Q96KQ7
CHEMBL1829305,CC(C)N1CCCN(CC1)C2=NC3=CC(=C(C=C3C(=N2)NC4CCN(CC4)CC5CCCCC5)OC)OCCCN6CCCCC6,UNC0631,Preclinical,histone lysine methyltransferase inhibitor,Q96KQ7
CHEMBL4850786,,UNC0638,Preclinical,histone lysine methyltransferase inhibitor,Q96KQ7
CHEMBL4859603,,UNC0642,Preclinical,histone lysine methyltransferase inhibitor,Q96KQ7
CHEMBL4866515,,UNC0646,Preclinical,histone lysine methyltransferase inhibitor,Q96KQ7
CHEMBL5079817,CC1=CC(=CC=C1)NC(=O)CN2CCC(CC2)C3=CC=CC=N3.Cl.Cl,A-412997,Preclinical,dopamine receptor agonist,P21917
CHEMBL1600943,C1CN(CCN1CC2=NC3=CC=CC=C3N2)C4=CC=CC=N4.Cl.Cl.Cl,ABT-724,Phase 2,dopamine receptor agonist,P21917
CHEMBL4873519,,AJ76-(+),Preclinical,dopamine receptor antagonist,P21917
CHEMBL1113,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,amoxapine,Launched,norepinephrine reputake inhibitor,P21917
CHEMBL2219425,CCCCCCCCCCCC(=O)OCN1C(=O)CCC2=C1C=C(C=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,aripiprazole,Launched,serotonin receptor agonist|serotonin receptor antagonist,P21917
CHEMBL4851709,,BP-897,Phase 2,dopamine receptor agonist,P21917
CHEMBL1255752,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O.Cl,bromocriptine,Launched,dopamine receptor agonist,P21917
CHEMBL1256790,CC(C)(C)C1(CCN2CC3C4=CC=CC=C4CCC5=C3C(=CC=C5)C2C1)O.Cl,butaclamol,Phase 2,dopamine receptor antagonist,P21917
CHEMBL1201087,CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(C1)CC=C,cabergoline,Launched,dopamine receptor agonist,P21917
CHEMBL3220941,C[N+](C)(CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl)[O-],chlorpromazine,Launched,dopamine receptor antagonist,P21917
CHEMBL1688,C[N+]1(CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42)[O-],clozapine,Launched,dopamine receptor antagonist|serotonin receptor antagonist,P21917
CHEMBL1256832,C1CC2=CC(=C(C=C2[C@@H]3[C@@H]1NCC4=CC=CC=C34)O)O.Cl,dihydrexidine,Phase 2,dopamine receptor agonist,P21917
CHEMBL1255837,CC(C)[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5C[C@H]6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C.CS(=O)(=O)O,dihydroergocristine,Launched,adrenergic receptor antagonist|prolactin inhibitor,P21917
CHEMBL1557,C1=CC(=C(C=C1CCN)O)O.Cl,dopamine,Launched,dopamine receptor agonist,P21917
CHEMBL4852826,,droperidol,Launched,dopamine receptor antagonist,P21917
CHEMBL1256917,CCC1=CC(=C(C(=C1O)C(=O)NC[C@@H]2CCCN2CC)OC)Cl.Cl,eticlopride,Preclinical,dopamine receptor antagonist,P21917
CHEMBL1256646,C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O.Br,fenoldopam,Launched,dopamine receptor agonist,P21917
CHEMBL231068,C1CN(CCN1CCN2C3=CC=CC=C3NC2=O)C4=CC=CC(=C4)C(F)(F)F,flibanserin,Launched,serotonin receptor agonist,P21917
CHEMBL1200986,CCCCCCCCCC(=O)OC1(CCN(CC1)CCCC(=O)C2=CC=C(C=C2)F)C3=CC=C(C=C3)Cl,haloperidol,Launched,dopamine receptor antagonist,P21917
CHEMBL1200986,CCCCCCCCCC(=O)OC1(CCN(CC1)CCCC(=O)C2=CC=C(C=C2)F)C3=CC=C(C=C3)Cl,haloperidol-decanoate,Launched,psychoactive drug,P21917
CHEMBL14376,CC(=O)C1=CC(=C(C=C1)OCCCN2CCC(CC2)C3=NOC4=C3C=CC(=C4)F)OC,iloperidone,Launched,dopamine receptor antagonist|serotonin receptor antagonist,P21917
CHEMBL4872403,,L-741742,Preclinical,dopamine receptor antagonist,P21917
CHEMBL4854617,,L-745870,Preclinical,dopamine receptor antagonist,P21917
CHEMBL4856882,,levodopa,Launched,dopamine precursor,P21917
CHEMBL2104973,C[C@@H](CN1C2=CC=CC=C2SC3=C1C=C(C=C3)OC)CN(C)C.Cl,levomepromazine,Launched,dopamine receptor antagonist,P21917
CHEMBL57059,CCN(CC)C(=O)NC1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,lisuride,Launched,dopamine receptor agonist,P21917
CHEMBL1201155,CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl.C(CC(=O)O)C(=O)O,loxapine,Launched,dopamine receptor antagonist|serotonin receptor antagonist,P21917
CHEMBL4848364,,NADPH,Preclinical,,P21917
CHEMBL4846754,,nemonapride,Launched,dopamine receptor antagonist,P21917
CHEMBL4856622,,NGD-94-1,Phase 1,dopamine receptor antagonist,P21917
CHEMBL3989694,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C.C1=CC=C2C(=C1)C=C(C(=C2CC3=C(C(=CC4=CC=CC=C43)C(=O)O)O)O)C(=O)O.O,olanzapine,Launched,dopamine receptor antagonist|serotonin receptor antagonist,P21917
CHEMBL2105649,CN1CCN(CC1)C2=CC=CC3=C2OC(=O)N3.Cl,pardoprunox,Phase 3,dopamine receptor agonist|serotonin receptor agonist,P21917
CHEMBL4878444,,PD-168568,Preclinical,dopamine receptor antagonist,P21917
CHEMBL1275,CCCN1C[C@@H](C[C@H]2[C@H]1CC3=CNC4=CC=CC2=C34)CSC.CS(=O)(=O)O,pergolide,Withdrawn,dopamine receptor agonist,P21917
CHEMBL1472975,C1CC[C@H]2[C@@H](C1)C(=O)N(C2=O)CCCCN3CCN(CC3)C4=NSC5=CC=CC=C54,perospirone,Launched,dopamine receptor antagonist|serotonin receptor antagonist,P21917
CHEMBL4864779,,pimozide,Launched,dopamine receptor antagonist,P21917
CHEMBL1865834,C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C4=NC=CC=N4.Cl,piribedil,Launched,dopamine receptor agonist,P21917
CHEMBL3182733,CCCN[C@H]1CCC2=C(C1)SC(=N2)N.O.Cl.Cl,pramipexole,Launched,dopamine receptor agonist,P21917
CHEMBL1201154,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl.C(CS(=O)(=O)O)S(=O)(=O)O,prochlorperazine,Launched,dopamine receptor antagonist,P21917
CHEMBL1200469,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31.Cl,promazine,Launched,dopamine receptor antagonist,P21917
CHEMBL3188993,C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42.C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42.C(=C/C(=O)O)\C(=O)O,quetiapine,Launched,dopamine receptor antagonist|serotonin receptor antagonist,P21917
CHEMBL4861539,,quinpirol-(-),Phase 2,dopamine receptor agonist,P21917
CHEMBL3989556,CCN1CCC[C@H]1CNC(=O)C2=C(C=CC(=C2OC)Br)OC.O.Cl,remoxipride,Withdrawn,dopamine receptor antagonist,P21917
CHEMBL4850212,,risperidone,Launched,dopamine receptor antagonist|serotonin receptor antagonist,P21917
CHEMBL1334895,CC1=NC=C(C(=N1)N)CN2CCC(=CC2)C3=CC=CC=C3.Cl.Cl,Ro-10-5824,Preclinical,dopamine receptor agonist,P21917
CHEMBL1200411,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1.Cl,ropinirole,Launched,dopamine receptor agonist,P21917
CHEMBL104383,CCCN(CCC1=CC=CS1)C2CCC3=C(C2)C=CC=C3O,rotigotine,Launched,dopamine receptor agonist,P21917
CHEMBL4851845,,sertindole,Withdrawn,dopamine receptor antagonist|serotonin receptor antagonist,P21917
CHEMBL1256875,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(=O)C4=CC=C(C=C4)F.Cl,spiperone,Launched,dopamine receptor antagonist,P21917
CHEMBL1480516,CCN(CC)C(=O)N[C@@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(C1)C,terguride,Launched,dopamine receptor agonist|serotonin receptor antagonist,P21917
CHEMBL3989478,CCSC1=CC2=C(SC3=CC=CC=C3N2CCCN4CCN(CC4)C)C=C1.C(=C\C(=O)O)\C(=O)O.C(=C\C(=O)O)\C(=O)O,thiethylperazine,Launched,dopamine receptor antagonist,P21917
CHEMBL1200916,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC.Cl,thioridazine,Withdrawn,dopamine receptor antagonist,P21917
CHEMBL1257040,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F.Cl.Cl,trifluoperazine,Launched,dopamine receptor antagonist,P21917
CHEMBL4865280,,UH-232-(+),Preclinical,dopamine receptor antagonist,P21917
CHEMBL1375743,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54.O.Cl,ziprasidone,Launched,dopamine receptor antagonist|serotonin receptor antagonist,P21917
CHEMBL285802,CN(C)CCOC1=CC2=CC=CC=C2SC3=C1C=C(C=C3)Cl,zotepine,Launched,dopamine receptor antagonist|serotonin receptor antagonist,P21917
CHEMBL4850555,,2-CMDO,Preclinical,dopamine receptor antagonist,P21917
CHEMBL4858893,,A-438079,Preclinical,purinergic receptor antagonist,Q99572
CHEMBL4871124,,A-804598,Preclinical,purinergic receptor antagonist,Q99572
CHEMBL1628691,C1=CC=C(C(=C1)CNC2=NN=NN2C3=C(C(=CC=C3)Cl)Cl)OC4=CC=CC=N4,A-839977,Preclinical,purinergic receptor antagonist,Q99572
CHEMBL4866845,,AZ-10606120,Preclinical,purinergic receptor antagonist,Q99572
CHEMBL4869867,,A740003,Preclinical,purinergic receptor antagonist,Q99572
CHEMBL112388,CCC(C)C1C(CCC2(O1)CC3CC(O2)C/C=C(/C(C(/C=C/C=C/4\COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)\C)C,ivermectin,Launched,benzodiazepine receptor agonist,Q99572
CHEMBL4864515,,JNJ-47965567,Preclinical,purinergic receptor antagonist,Q99572
CHEMBL4868076,,KN-62,Preclinical,calcium/calmodulin dependent protein kinase inhibitor|purinergic receptor antagonist,Q99572
CHEMBL4860160,,A-582941,Preclinical,nicotinic receptor agonist,P36544
CHEMBL4876916,,A-867744,Preclinical,acetylcholine receptor allosteric modulator,P36544
CHEMBL3305985,C=CC[N@@+]12[C@@H]3[C@]4(C5=CC=CC=C5N/6[C@H]4/C(=C\N7[C@H]8/C(=C6)/[C@@H]9/C(=C\CO)/C[N@+]4([C@H]([C@]8(C5=CC=CC=C75)CC4)C9)CC=C)/[C@@H](C3)/C(=C\CO)/C1)CC2,alcuronium,Launched,muscle relaxant,P36544
CHEMBL454,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,butalbital,Launched,GABA receptor antagonist,P36544
CHEMBL4303235,CC1=NOC(=C1)C(=CNC2=CC=C(C=C2)Cl)C(=O)NC3=CC=C(C=C3)Cl,CCMI,Preclinical,acetylcholine receptor allosteric modulator,P36544
CHEMBL4856087,,cytisine,Launched,acetylcholine receptor agonist,P36544
CHEMBL52440,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)OC,dextromethorphan,Launched,glutamate receptor antagonist|sigma receptor agonist,P36544
CHEMBL1165368,CN(C)C1=CC=C(C=C1)/C=C/2\CCCN=C2C3=CN=CC=C3,DMAB-anabaseine,Preclinical,adrenergic receptor agonist,P36544
CHEMBL1555,CN1CC[C@@]23C=C[C@@H](C[C@@H]2OC4=C(C=CC(=C34)C1)OC)O.Br,galantamine,Launched,acetylcholinesterase inhibitor,P36544
CHEMBL3785087,,EVP-6124,Phase 3,acetylcholine receptor agonist,P36544
CHEMBL4856777,,GTS21,Phase 1/Phase 2,cholinergic receptor agonist,P36544
CHEMBL112388,CCC(C)C1C(CCC2(O1)CC3CC(O2)C/C=C(/C(C(/C=C/C=C/4\COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)\C)C,ivermectin,Launched,benzodiazepine receptor agonist,P36544
CHEMBL1237082,CC1(C2CCC(C2)C1(C)NC)C.Cl,mecamylamine,Launched,acetylcholine receptor antagonist,P36544
CHEMBL450,CCC1(C(=O)NC(=O)N(C1=O)C)CC,metharbital,Launched,GABA receptor modulator,P36544
CHEMBL4303653,CCN1C[C@@]2(CC[C@@H]([C@@]34[C@@H]1[C@@]([C@H](C23)OC)([C@]5(C[C@@H]([C@H]6C[C@@H]4[C@@H]5[C@H]6OC)OC)O)O)OC)COC(=O)C7=CC=CC=C7N8C(=O)C[C@@H](C8=O)C,methyllycaconitine,Preclinical,acetylcholine receptor antagonist,P36544
CHEMBL4848782,,MG-624,Preclinical,acetylcholine receptor antagonist,P36544
CHEMBL1201536,,nicotine,Launched,acetylcholine receptor agonist,P36544
CHEMBL4873995,,PHA-568487,Preclinical,nicotinic receptor agonist,P36544
CHEMBL4869824,,PNU-120596,Preclinical,acetylcholine receptor agonist,P36544
CHEMBL4851122,,PNU-282987,Preclinical,cholinergic receptor agonist,P36544
CHEMBL856,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,primidone,Launched,GABA receptor antagonist,P36544
CHEMBL3238795,,SSR180711,Phase 2,acetylcholine receptor agonist,P36544
CHEMBL1396,C1C2CNCC1C3=CC4=NC=CN=C4C=C23,varenicline,Launched,acetylcholine receptor agonist,P36544
CHEMBL4303195,C1C=CC2C1C(NC3=C2C=C(C=C3)S(=O)(=O)N)C4=CC=C(C=C4)Br,4BP-TQS,Preclinical,nicotinic receptor agonist,P36544
CHEMBL2261346,CS(=O)(=O)NC1=C(C=CC2=C1CCCC2C3=NCCN3)O.Br,A-61603,Preclinical,adrenergic receptor agonist,P25100
CHEMBL2261346,CS(=O)(=O)NC1=C(C=CC2=C1CCCC2C3=NCCN3)O.Br,A-61603,Preclinical,adrenergic receptor agonist,P35348
CHEMBL4874380,,acepromazine,Launched,dopamine receptor antagonist,P25100
CHEMBL4874380,,acepromazine,Launched,dopamine receptor antagonist,P35348
CHEMBL2103996,CNCC(=O)C1=CC(=C(C=C1)O)O,adrenalone,Launched,adrenergic receptor agonist,P25100
CHEMBL2103996,CNCC(=O)C1=CC(=C(C=C1)O)O,adrenalone,Launched,adrenergic receptor agonist,P35348
CHEMBL1723,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC.Cl,alfuzosin,Launched,adrenergic receptor antagonist,P25100
CHEMBL1723,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC.Cl,alfuzosin,Launched,adrenergic receptor antagonist,P35348
CHEMBL1365675,CC1=CC(=C(C=C1)N=CN(C)C=NC2=C(C=C(C=C2)C)C)C,amitraz,Launched,adrenergic receptor agonist,P25100
CHEMBL1365675,CC1=CC(=C(C=C1)N=CN(C)C=NC2=C(C=C(C=C2)C)C)C,amitraz,Launched,adrenergic receptor agonist,P35348
CHEMBL1200964,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,amitriptyline,Launched,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI),P25100
CHEMBL1200964,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,amitriptyline,Launched,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI),P35348
CHEMBL1113,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,amoxapine,Launched,norepinephrine reputake inhibitor,P25100
CHEMBL1113,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,amoxapine,Launched,norepinephrine reputake inhibitor,P35348
CHEMBL2165224,CN1[C@H]2C[C@@H](C[C@@H]1[C@H](C2)O)OC(=O)[C@H](CO)C3=CC=CC=C3,anisodamine,Phase 3,lipid peroxidase inhibitor,P25100
CHEMBL2165224,CN1[C@H]2C[C@@H](C[C@@H]1[C@H](C2)O)OC(=O)[C@H](CO)C3=CC=CC=C3,anisodamine,Phase 3,lipid peroxidase inhibitor,P35348
CHEMBL1200379,C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl.Cl,apraclonidine,Launched,adrenergic receptor agonist,P25100
CHEMBL1200379,C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl.Cl,apraclonidine,Launched,adrenergic receptor agonist,P35348
CHEMBL2219425,CCCCCCCCCCCC(=O)OCN1C(=O)CCC2=C1C=C(C=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,aripiprazole,Launched,serotonin receptor agonist|serotonin receptor antagonist,P25100
CHEMBL2219425,CCCCCCCCCCCC(=O)OCN1C(=O)CCC2=C1C=C(C=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,aripiprazole,Launched,serotonin receptor agonist|serotonin receptor antagonist,P35348
CHEMBL4874887,,A61603,Preclinical,adrenergic receptor agonist,P25100
CHEMBL4874887,,A61603,Preclinical,adrenergic receptor agonist,P35348
CHEMBL1515808,C1CC2=CC=CC=C2C(=O)C1CNCCC3=CC=C(C=C3)O,BE-2254,Phase 2,adrenergic receptor antagonist,P25100
CHEMBL1515808,C1CC2=CC=CC=C2C(=O)C1CNCCC3=CC=C(C=C3)O,BE-2254,Phase 2,adrenergic receptor antagonist,P35348
CHEMBL4846881,,BMY-7378,Preclinical,adrenergic receptor antagonist|serotonin receptor antagonist,P25100
CHEMBL4846881,,BMY-7378,Preclinical,adrenergic receptor antagonist|serotonin receptor antagonist,P35348
CHEMBL4851709,,BP-897,Phase 2,dopamine receptor agonist,P25100
CHEMBL4851709,,BP-897,Phase 2,dopamine receptor agonist,P35348
CHEMBL1255752,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O.Cl,bromocriptine,Launched,dopamine receptor agonist,P25100
CHEMBL1255752,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O.Cl,bromocriptine,Launched,dopamine receptor agonist,P35348
CHEMBL188921,COC1=CC(=C(C(=C1)OC)C(=O)CCCN2CCCC2)OC,buflomedil,Launched,adrenergic receptor antagonist|calcium channel blocker,P25100
CHEMBL188921,COC1=CC(=C(C(=C1)OC)C(=O)CCCN2CCCC2)OC,buflomedil,Launched,adrenergic receptor antagonist|calcium channel blocker,P35348
CHEMBL3182014,CCCC(=O)N1CCCN(CC1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC.Cl,bunazosin,Launched,adrenergic receptor antagonist,P25100
CHEMBL3182014,CCCC(=O)N1CCCN(CC1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC.Cl,bunazosin,Launched,adrenergic receptor antagonist,P35348
CHEMBL1201087,CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(C1)CC=C,cabergoline,Launched,dopamine receptor agonist,P25100
CHEMBL1201087,CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(C1)CC=C,cabergoline,Launched,dopamine receptor agonist,P35348
CHEMBL3220941,C[N+](C)(CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl)[O-],chlorpromazine,Launched,dopamine receptor antagonist,P25100
CHEMBL3220941,C[N+](C)(CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl)[O-],chlorpromazine,Launched,dopamine receptor antagonist,P35348
CHEMBL1255646,C1CC1C2=CC=CC=C2OCC3=NCCN3.Cl,cirazoline,Preclinical,adrenergic receptor agonist,P25100
CHEMBL1255646,C1CC1C2=CC=CC=C2OCC3=NCCN3.Cl,cirazoline,Preclinical,adrenergic receptor agonist,P35348
CHEMBL1200781,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F.Br,citalopram,Launched,selective serotonin reuptake inhibitor (SSRI),P25100
