Drug_Name,CNS,Smiles_ID
Albendazole,False,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1
Alcaftadine,False,CN1CCC(=C2c3ccccc3CCn3c(C=O)cnc32)CC1
Alclometasone,False,C[C@@H]1C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl
Alendronate,False,NCCCC(O)(P(=O)([O-])O)P(=O)(O)O.[Na+]
Alfentanil,True,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1.Cl
Alfuzosin,False,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC.Cl
Aliskiren,False,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC
Alizapride,False,C=CCN1CCCC1CNC(=O)c1cc2nn[nH]c2cc1OC.Cl
Allopurinol,False,O=c1ncnc2n([C@H]3O[C@@H](CO)[C@H](O)[C@@H]3O)[nH]cc1-2
Allylestrenol,False,C=CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCCC4[C@H]3CC[C@@]21C
Almitrine,False,C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1
Almotriptan,True,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12.O=C(O)CC(O)C(=O)O
Alogliptin,False,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O
Alosetron,False,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O.Cl
Alpha-Linolenic Acid,False,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O
Alprenolol,False,C=CCc1ccccc1OCC(O)CNC(C)C.Cl
Altretamine,False,CN(C)c1nc(N(C)C)nc(N(C)C)n1
Aluminium,False,O=[Al]O[Al]=O
Aluminum hydroxide,False,O[Al](O)O
Alverine,False,CCN(CCCc1ccccc1)CCCc1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
Alvimopan,False,C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1
Amantadine,True,NC12CC3CC(CC(C3)C1)C2
Ambenonium,True,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl.[Cl-].[Cl-]
Amcinonide,False,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1CC1C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C
Amdinocillin,False,CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O
Amifostine,False,NCCCNCCSP(=O)(O)O
Amikacin,False,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O.O=S(=O)(O)O.O=S(=O)(O)O
Amiloride,False,Cl.N=C(N)NC(=O)c1nc(Cl)c(N)nc1N.O.O
Aminocaproic Acid,False,NCCCCCC(=O)O
Aminoglutethimide,False,CCC1(c2ccc(N)cc2)CCC(=O)CC1=O
Aminohippurate,False,Nc1ccc(C(=O)NCC(=O)[O-])cc1.[Na+]
Aminolevulinic acid,False,Cl.NCC(=O)CCC(=O)O
Aminophenazone,False,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C.O=S(=O)(O)NC1CCCCC1
Aminophylline,False,Cn1c(=O)c2[nH]cnc2n(C)c1=O.Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCCN
Aminosalicylic Acid,False,Nc1ccc(C(=O)O)c(O)c1
Amiodarone,False,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1.Cl
Amisulpride,False,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC
Amitriptyline,True,CN(C)CCC=C1c2ccccc2CCc2ccccc21.Cl
Amlodipine,False,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1
Ammonium lactate,False,CC(O)C(=O)O.N
Amobarbital,False,CCC1(CCC(C)C)C(=O)N=C([O-])NC1=O.[Na+]
Amodiaquine,False,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O
Amoxapine,True,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
Amoxicillin,False,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)[O-].[Na+]
Amphetamine,True,CC(N)Cc1ccccc1.NC(CC(=O)O)C(=O)O
Amphotericin B,False,COC(=O)[C@H]1[C@@H]2C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@@H]1O)O2
Ampicillin,False,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+]
Amrinone,False,Nc1cc(-c2ccncc2)c[nH]c1=O
Amsacrine,False,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12.Cl
Amyl Nitrite,False,CC(C)CCON=O.CCC(C)CON=O
Anagrelide,False,Cl.O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1
Anastrozole,False,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1
Anidulafungin,False,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1
Anileridine,False,CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1.Cl
Anisotropine Methylbromide,False,CCCC(CCC)C(=O)O[C@H]1C[C@H]2CC[C@@H](C1)[N+]2(C)C.[Br-]
Antazoline,False,O=P(O)(O)O.c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1
Antipyrine,False,Cc1cc(=O)n(-c2ccccc2)n1C
Antrafenine,False,O=C(OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12
Apixaban,False,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1
Apomorphine,True,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3.Cl
Apraclonidine,False,Cl.Nc1cc(Cl)c(N=C2NCCN2)c(Cl)c1
Aprepitant,True,C[C@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
Aprindine,False,CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1.Cl
Aprobarbital,False,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O
Arbutamine,False,Cl.Oc1ccc(CCCCNC[C@H](O)c2ccc(O)c(O)c2)cc1
Arformoterol,False,COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1.O=C(O)C(O)C(O)C(=O)O
Argatroban,False,C[C@@H]1CCN(C(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)c2cccc3c2NC[C@H](C)C3)[C@@H](C(=O)O)C1
Aripiprazole,True,CCCCCCCCCCCC(=O)OCN1C(=O)CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc21
Arsenic trioxide,False,O1[As]2O[As]3O[As]1O[As](O2)O3
Artemether,False,C[C@H]1C(O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CCC1[C@@]24OO3
Asenapine,True,CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1
Astemizole,False,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
Atazanavir,False,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C.O=S(=O)(O)O
Atomoxetine,True,CNCC[C@@H](Oc1ccccc1C)c1ccccc1.Cl
Atovaquone,False,O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21
Atracurium,False,COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC.O=S(=O)([O-])c1ccccc1.O=S(=O)([O-])c1ccccc1
Atropine,False,CN1C2CC[C@H]1C[C@@H](OC(=O)[C@H](CO)c1ccccc1)C2
Avanafil,False,COc1ccc(CNc2nc(N3CCC[C@H]3CO)ncc2C(=O)Nc2ncccn2)cc1Cl
Azatadine,False,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O
Azathioprine,False,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[n-]c12.[Na+]
Azelaic Acid,False,O=C(O)CCCCCCCC(=O)O
Azelastine,False,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1.Cl
Azidocillin,False,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N=[N+]=[N-])c3ccccc3)C(=O)N2[C@H]1C(=O)O
Azilsartan medoxomil,False,CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1
Azithromycin,False,CC[C@@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@](C)(OC)[C@H](O)[C@@H](C)O2)[C@@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
Azlocillin,False,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+]
Aztreonam,False,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O.NCCCC[C@H](N)C(=O)O
Bacampicillin,False,CCOC(=O)OC(C)OC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C.Cl
Bacitracin,False,CC[C@H](C)[C@H](N)C1=N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H]2CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC)CS1
Baclofen,True,Cl.NCC(CC(=O)O)c1ccc(Cl)cc1
Balsalazide,False,O=C([O-])CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)[O-])c2)cc1.[Na+].[Na+]
Bambuterol,False,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1
Beclometasone dipropionate,False,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@H](C)C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@@]21C)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl
Bedaquiline,False,COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12.O=C(O)/C=C/C(=O)O
Benazepril,False,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O
Bendroflumethiazide,False,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O
Bentiromide,False,O=C(O)c1ccc(NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)c2ccccc2)cc1
Benzatropine,True,CN1[C@@H]2CC[C@H]1CC(OC(c1ccccc1)c1ccccc1)C2
Benzocaine,False,CCOC(=O)c1ccc(N)cc1
Benzonatate,False,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1
Benzphetamine,False,C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1
Benzquinamide,False,CCN(CC)C(=O)C1CN2CCc3cc(OC)c(OC)cc3C2CC1OC(C)=O
Benzthiazide,False,NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)NS2(=O)=O
Benzyl alcohol,False,OCc1ccccc1
Bepotastine,False,O=C(O)CCCN1CCC(O[C@@H](c2ccc(Cl)cc2)c2ccccn2)CC1.O=S(=O)(O)c1ccccc1
Bepridil,False,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1.Cl.O
Besifloxacin,False,Cl.N[C@@H]1CCCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1
Betahistine,False,CNCCc1ccccn1.Cl.Cl
Betamethasone,False,C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
Betaxolol,False,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1.Cl
Betazole,False,Cl.NCCc1cc[nH]n1
Bethanechol,False,CC(C[N+](C)(C)C)OC(N)=O.[Cl-]
Bethanidine,False,C/N=C(\NC)NCc1ccccc1.C/N=C(\NC)NCc1ccccc1.O=S(=O)(O)O
Bevantolol,False,COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC.Cl
Bicalutamide,False,N#Cc1ccc(NC(=O)CS(=O)(=O)c2ccc(F)cc2)cc1C(F)(F)F
Bifonazole,False,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1
Bimatoprost,False,CCNC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C/C(O)CCc2ccccc2)[C@H](O)C[C@@H]1O
Biotin,False,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21
Biperiden,False,CC(O)C(=O)O.OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2
Bisoprolol,False,CC(C)NC[C@@H](O)COc1ccc(COCCOC(C)C)cc1
Bleomycin,False,Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)[C@@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1.O=S(=O)(O)O
Boceprevir,False,CC(C)(C)C(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C
Bopindolol,False,Cc1cc2c(OCC(CNC(C)(C)C)OC(=O)c3ccccc3)cccc2[nH]1
Bortezomib,False,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
Bosentan,False,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO
Bretylium,False,CC[N+](C)(C)Cc1ccccc1Br.Cc1ccc(S(=O)(=O)[O-])cc1
Brimonidine,False,Brc1c(NC2=NCCN2)ccc2nccnc12.O=C(O)C(O)C(O)C(=O)O
Bromazepam,False,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1
Bromfenac,False,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1
Bromocriptine,True,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12.Cl
Bromodiphenhydramine,False,CN(C)CCOC(c1ccccc1)c1ccc(Br)cc1.Cl
Brompheniramine,False,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O
Buclizine,False,CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1
Budesonide,False,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
Bumetanide,False,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
Bupivacaine,False,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C.Cl
Bupranolol,False,Cc1ccc(Cl)c(OCC(O)CNC(C)(C)C)c1
Buprenorphine,True,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5
Bupropion,True,Br.CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
Buspirone,True,Cl.O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
Busulfan,False,CS(=O)(=O)OCCCCOS(C)(=O)=O
Butabarbital,False,CCC(C)C1(CC)C(=O)[N-]C(=O)NC1=O.[Na+]
Butalbital,True,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
Butenafine,False,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12.Cl
Butethal,False,CCCCC1(CC)C(=O)NC(=O)NC1=O
Butoconazole,False,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1
Butorphanol,True,Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3
Cabergoline,False,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
Caffeine,True,Cn1c(=O)c2c(ncn2C)n(C)c1=O
Calcipotriol,False,C=C1/C(=C/C=C2\CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@@H](O)C4CC4)CC[C@@H]23)C[C@H](O)C[C@@H]1O
Calcium Acetate,False,CC(=O)[O-].CC(=O)[O-].[Ca+2]
Calcium Chloride,False,[Ca+2].[Cl-].[Cl-]
Calcium Gluceptate,False,O=C([O-])C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Ca+2]
Camazepam,False,CN(C)C(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2N(C)C1=O
Canagliflozin,False,Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1.O
Candicidin,False,CC1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(OC2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)CC(O)C(C(=O)O)C(O)CC(=O)CC(O)CC(O)CC(O)CC(=O)CCCC(=O)CC(=O)OC1C(C)CC(C)C(O)CC(=O)c1ccc(N)cc1
Candoxatril,False,COCCOC[C@H](CC1(C(=O)N[C@H]2CC[C@@H](C(=O)O)CC2)CCCC1)C(=O)Oc1ccc2c(c1)CCC2
Capecitabine,False,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F
Capreomycin,False,C[C@@H]1NC(=O)[C@@H](N)CNC(=O)[C@H](C2CCNC(=N)N2)NC(=O)/C(=C/NC(N)=O)NC(=O)[C@H](CNC(=O)CC(N)CCCN)NC1=O.N=C1NCCC([C@@H]2NC(=O)/C(=C/NC(N)=O)NC(=O)[C@H](CNC(=O)CC(N)CCCN)NC(=O)[C@H](CO)NC(=O)[C@@H](N)CNC2=O)N1.O=S(=O)(O)O.O=S(=O)(O)O
Carbachol,False,C[N+](C)(C)CCOC(N)=O
Carbamazepine,True,NC(=O)N1c2ccccc2C=Cc2ccccc21
Carbenicillin,False,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[K+]
Carbetocin,False,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(OC)cc2)NC(=O)CCCSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O
Carbidopa,True,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O.O
Carbimazole,False,CCOC(=O)n1ccn(C)c1=S
Carbinoxamine,False,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1
Carboprost Tromethamine,False,CCCCC[C@](C)(O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@@H](O)C[C@H]1O.NC(CO)(CO)CO
Carfilzomib,False,CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1
Carglumic Acid,False,NC(=O)N[C@@H](CCC(=O)O)C(=O)O
Carisoprodol,True,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
Carmustine,False,O=NN(CCCl)C(=O)NCCCl
Carphenazine,False,CCC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O
Carteolol,False,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2.Cl
Carvedilol,False,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12.O=P(O)(O)O
Caspofungin,False,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O
Cefacetrile,False,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CC#N)[C@H]2SC1
Cefadroxil,False,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1
Cefalotin,False,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1
Cefamandole,False,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1.[Na+]
Cefazolin,False,Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1.[Na+]
Cefditoren,False,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(/C=C\c3scnc3C)CS[C@H]12)c1csc(N)n1
